"","Year","Date","Month","ppt","tmin","tmean","Forage"
"126",1945,1945-10-01,10,1.97,51,66.3,2594
"127",1945,1945-11-01,11,1.57,39.9,52.1,2594
"128",1945,1945-12-01,12,3.51,38.1,47,2594
"129",1945,1945-09-01,9,0.08,56.6,75.9,2594
"130",1945,1945-01-01,1,0.36,34.3,43.9,2594
"131",1945,1945-02-01,2,5,39.2,49.6,2594
"132",1945,1945-03-01,3,4.25,36.7,47.7,2594
"133",1946,1946-05-01,5,0.91,47.9,65.7,1815
"134",1946,1946-06-01,6,0,53.5,72.8,1815
"135",1946,1946-07-01,7,0.04,61.3,81,1815
"136",1946,1946-08-01,8,0,59.8,80.8,1815
"137",1946,1946-09-01,9,0,54.4,74.1,1815
"138",1946,1946-10-01,10,1.65,45.3,61,1815
"139",1946,1946-11-01,11,3.84,37.5,49.6,1815
"140",1946,1946-12-01,12,3.36,38.4,46.5,1815
"141",1946,1946-04-01,4,0.2,43.3,60.5,1815
"142",1946,1946-01-01,1,0.83,32.4,44.4,1815
"143",1946,1946-02-01,2,2.14,34.4,46.6,1815
"144",1946,1946-03-01,3,3.38,38.8,51.8,1815
"145",1947,1947-01-01,1,0.58,30.7,41.6,1815
"146",1947,1947-07-01,7,0,57.4,78.1,1815
"147",1947,1947-08-01,8,0,57.9,77.2,1815
"148",1947,1947-09-01,9,0.18,56.3,76.4,1815
"149",1947,1947-10-01,10,1.31,49.6,64.1,1815
"150",1947,1947-11-01,11,0.75,36.7,49.4,1815
"151",1947,1947-12-01,12,0.72,33.6,44.9,1815
"152",1947,1947-02-01,2,1.35,39.3,50.5,1815
"153",1947,1947-03-01,3,1.26,41.6,55,1815
"154",1947,1947-04-01,4,0.33,45,61.8,1815
"155",1947,1947-05-01,5,0.56,52.2,71.3,1815
"156",1947,1947-06-01,6,0.07,56.9,75.2,1815
"157",1948,1948-02-01,2,1.43,34.2,46.8,1491
"158",1948,1948-03-01,3,4.04,36.9,49.3,1491
"159",1948,1948-04-01,4,3.87,43.2,56.6,1491
"160",1948,1948-01-01,1,0.13,35.8,50.5,1491
"161",1948,1948-10-01,10,0.29,46.9,64.2,1491
"162",1948,1948-11-01,11,0.15,36.4,52.1,1491
"163",1948,1948-12-01,12,2.06,33.6,43.1,1491
"164",1948,1948-08-01,8,0,57.5,77.8,1491
"165",1948,1948-05-01,5,1.51,46,62.4,1491
"166",1948,1948-06-01,6,0.02,55.7,74.3,1491
"167",1948,1948-07-01,7,0,58.6,79.5,1491
"168",1948,1948-09-01,9,0,53.8,73.8,1491
"169",1949,1949-01-01,1,1.97,27.2,38.5,1391
"170",1949,1949-03-01,3,3.2,40.5,50.6,1391
"171",1949,1949-04-01,4,0.01,45.4,62.2,1391
"172",1949,1949-05-01,5,1.36,49,65.9,1391
"173",1949,1949-02-01,2,1.75,33.3,44.8,1391
"174",1949,1949-11-01,11,1.23,44,59,1391
"175",1949,1949-12-01,12,1.81,33.4,45,1391
"176",1949,1949-08-01,8,0,57.4,76.4,1391
"177",1949,1949-09-01,9,0,55.7,75.7,1391
"178",1949,1949-06-01,6,0,57.2,76.9,1391
"179",1949,1949-07-01,7,0,59.4,80.6,1391
"180",1949,1949-10-01,10,0,44.8,63.2,1391
"181",1950,1950-01-01,1,4.64,32,42.4,2842
"182",1950,1950-02-01,2,2.33,38.6,50.9,2842
"183",1950,1950-04-01,4,1.73,44.9,61.4,2842
"184",1950,1950-05-01,5,0.07,47.7,67.1,2842
"185",1950,1950-06-01,6,0,53.7,73.1,2842
"186",1950,1950-03-01,3,2.25,38.5,51.7,2842
"187",1950,1950-11-01,11,6.07,46,57.8,2842
"188",1950,1950-12-01,12,3.4,42.7,50.8,2842
"189",1950,1950-07-01,7,0.04,62,83.2,2842
"190",1950,1950-08-01,8,0,59.4,80.2,2842
"191",1950,1950-09-01,9,0.23,54.7,73.2,2842
"192",1950,1950-10-01,10,1.89,49.1,66.3,2842
"193",1951,1951-01-01,1,2.8,36,45.6,2495
"194",1951,1951-02-01,2,2.33,36.5,48.7,2495
"195",1951,1951-03-01,3,0.68,37.1,51.7,2495
"196",1951,1951-04-01,4,1.37,43.4,59.6,2495
"197",1951,1951-05-01,5,0.03,48.2,66.4,2495
"198",1951,1951-06-01,6,0.04,53.9,74,2495
"199",1951,1951-07-01,7,0,59.1,80.3,2495
"200",1951,1951-08-01,8,0,58,79.3,2495
"201",1951,1951-12-01,12,5.73,34,44.6,2495
"202",1951,1951-09-01,9,0,55.9,75.8,2495
"203",1951,1951-10-01,10,0.8,45.6,63.8,2495
"204",1951,1951-11-01,11,1.58,41.1,55.1,2495
"205",1952,1952-01-01,1,6.12,33.6,44.3,2562
"206",1952,1952-02-01,2,1.4,36.8,48.6,2562
"207",1952,1952-03-01,3,5.28,36.4,47.3,2562
"208",1952,1952-04-01,4,2.21,46.3,60.1,2562
"209",1952,1952-05-01,5,0.02,51.9,70.1,2562
"210",1952,1952-06-01,6,0,51.7,69.9,2562
"211",1952,1952-07-01,7,0.02,62.3,82.6,2562
"212",1952,1952-08-01,8,0,59.9,80.5,2562
"213",1952,1952-09-01,9,0.1,57.7,76.7,2562
"214",1952,1952-10-01,10,0.07,50.7,69.2,2562
"215",1952,1952-11-01,11,1.86,38,51.9,2562
"216",1952,1952-12-01,12,5.01,37.2,46.8,2562
"217",1953,1953-02-01,2,0.14,35.5,49.2,1956
"218",1953,1953-06-01,6,0.68,51.7,69.5,1956
"219",1953,1953-03-01,3,1.22,37.9,52.2,1956
"220",1953,1953-04-01,4,1.61,42.5,58.5,1956
"221",1953,1953-05-01,5,0.67,44,60.5,1956
"222",1953,1953-10-01,10,0.42,46.1,64,1956
"223",1953,1953-07-01,7,0,62.6,83.3,1956
"224",1953,1953-08-01,8,0,57.5,76.6,1956
"225",1953,1953-09-01,9,0,57.8,76.2,1956
"226",1953,1953-01-01,1,2.34,39.4,50.1,1956
"227",1953,1953-11-01,11,1.89,42.6,54.8,1956
"228",1953,1953-12-01,12,1,34.6,46.5,1956
"229",1954,1954-03-01,3,4,38.1,49.9,2584
"230",1954,1954-04-01,4,1.12,46.8,62.4,2584
"231",1954,1954-07-01,7,0,61.2,83,2584
"232",1954,1954-08-01,8,0,55.7,75.8,2584
"233",1954,1954-05-01,5,0.21,49.3,68.8,2584
"234",1954,1954-06-01,6,0.69,53.8,72.7,2584
"235",1954,1954-11-01,11,2,41.1,53.1,2584
"236",1954,1954-12-01,12,2.51,35.3,44.4,2584
"237",1954,1954-09-01,9,0,51.9,71.9,2584
"238",1954,1954-10-01,10,0,46.1,64.5,2584
"239",1954,1954-01-01,1,3.02,35.1,46.7,2584
"240",1954,1954-02-01,2,2.24,38.7,49.9,2584
"241",1955,1955-05-01,5,1.34,48.1,64.6,2181
"242",1955,1955-06-01,6,0,54.1,72.7,2181
"243",1955,1955-07-01,7,0,57.8,77.4,2181
"244",1955,1955-08-01,8,0,62,82.1,2181
"245",1955,1955-09-01,9,0,56.3,75.7,2181
"246",1955,1955-10-01,10,0,47.9,66,2181
"247",1955,1955-11-01,11,1.91,38.1,51.5,2181
"248",1955,1955-12-01,12,11.42,42,49.6,2181
"249",1955,1955-04-01,4,1.92,38,53.8,2181
"250",1955,1955-01-01,1,4.48,32.6,41.9,2181
"251",1955,1955-02-01,2,1.92,34.3,47,2181
"252",1955,1955-03-01,3,0.25,37.5,52.1,2181
"253",1956,1956-01-01,1,4.39,40.1,48.5,1970
"254",1956,1956-06-01,6,0,55.3,74.6,1970
"255",1956,1956-07-01,7,0,61,80.9,1970
"256",1956,1956-08-01,8,0,56.9,76.7,1970
"257",1956,1956-09-01,9,0.05,55.6,75,1970
"258",1956,1956-10-01,10,1.38,46.6,62.2,1970
"259",1956,1956-11-01,11,0,37.7,53.8,1970
"260",1956,1956-12-01,12,0.71,32.3,46,1970
"261",1956,1956-04-01,4,2.57,44.1,57.5,1970
"262",1956,1956-05-01,5,1.5,49.9,66.1,1970
"263",1956,1956-02-01,2,1.06,33.5,45.2,1970
"264",1956,1956-03-01,3,0.02,37.9,52.6,1970
"265",1957,1957-01-01,1,2.81,31.3,42.8,1963
"266",1957,1957-02-01,2,2.05,43.4,52.2,1963
"267",1957,1957-08-01,8,0,57.5,77.7,1963
"268",1957,1957-09-01,9,0.44,56.1,74.6,1963
"269",1957,1957-10-01,10,1.04,48,62.1,1963
"270",1957,1957-11-01,11,1.01,38.7,51.2,1963
"271",1957,1957-12-01,12,2.99,35.4,45.6,1963
"272",1957,1957-06-01,6,0.16,58.2,77.3,1963
"273",1957,1957-03-01,3,1.89,41.5,53.2,1963
"274",1957,1957-04-01,4,1.57,43.3,58.5,1963
"275",1957,1957-05-01,5,2.94,48.7,63.8,1963
"276",1957,1957-07-01,7,0,61.2,81.3,1963
"277",1958,1958-01-01,1,3.45,35.4,46.3,2138
"278",1958,1958-03-01,3,6.89,38.4,48.9,2138
"279",1958,1958-04-01,4,3.76,42.6,57,2138
"280",1958,1958-05-01,5,0.94,50.4,68.6,2138
"281",1958,1958-02-01,2,5.1,41.7,52.1,2138
"282",1958,1958-11-01,11,0.34,39,54.1,2138
"283",1958,1958-12-01,12,0.43,35.7,50.8,2138
"284",1958,1958-08-01,8,0,65.1,83.8,2138
"285",1958,1958-09-01,9,0.56,56.4,75.1,2138
"286",1958,1958-06-01,6,0.11,54.4,72.8,2138
"287",1958,1958-07-01,7,0.12,60.3,79.9,2138
"288",1958,1958-10-01,10,0,51.4,69.3,2138
"289",1959,1959-01-01,1,2.73,38.4,49.1,785
"290",1959,1959-02-01,2,4.24,37.3,48.1,785
"291",1959,1959-04-01,4,0.73,45.6,63.6,785
"292",1959,1959-05-01,5,0.17,45.9,63.8,785
"293",1959,1959-06-01,6,0,57,76.8,785
"294",1959,1959-03-01,3,0.16,41.1,55.9,785
"295",1959,1959-12-01,12,0.53,33.1,47.6,785
"296",1959,1959-08-01,8,0,59.6,78.9,785
"297",1959,1959-09-01,9,2.69,55.1,72.1,785
"298",1959,1959-10-01,10,0,49.3,66.1,785
"299",1959,1959-07-01,7,0,63.7,84.2,785
"300",1959,1959-11-01,11,0,38.2,55.3,785
"301",1960,1960-01-01,1,2.67,34.2,46,1956
"302",1960,1960-02-01,2,3.85,37.4,48.1,1956
"303",1960,1960-03-01,3,1.53,40.6,54.4,1956
"304",1960,1960-05-01,5,0.07,45.9,64.3,1956
"305",1960,1960-06-01,6,0,59.6,80.3,1956
"306",1960,1960-07-01,7,0,63.8,83.8,1956
"307",1960,1960-04-01,4,1.86,42.1,58.1,1956
"308",1960,1960-12-01,12,1.1,33.2,43.7,1956
"309",1960,1960-11-01,11,3.73,39.5,51.1,1956
"310",1960,1960-08-01,8,0,58.9,79.4,1956
"311",1960,1960-09-01,9,0,55.7,75.8,1956
"312",1960,1960-10-01,10,0.26,46,63,1956
"313",1961,1961-01-01,1,1.88,31.8,43,1353
"314",1961,1961-02-01,2,0.83,37.9,50.2,1353
"315",1961,1961-03-01,3,1.85,37.4,50.7,1353
"316",1961,1961-04-01,4,0.7,42.5,59.8,1353
"317",1961,1961-05-01,5,0.82,45.3,62.4,1353
"318",1961,1961-06-01,6,0.1,59.3,78.8,1353
"319",1961,1961-07-01,7,0.05,62.4,83.2,1353
"320",1961,1961-08-01,8,0,62.5,81.3,1353
"321",1961,1961-09-01,9,0.04,52.6,71.8,1353
"322",1961,1961-10-01,10,0.1,46,64.4,1353
"323",1961,1961-11-01,11,2.32,36.9,51.3,1353
"324",1961,1961-12-01,12,1.78,34.5,43.2,1353
"325",1962,1962-02-01,2,8.73,37.5,46.2,1971
"326",1962,1962-06-01,6,0.01,54.4,74.2,1971
"327",1962,1962-03-01,3,2.15,36.4,48.7,1971
"328",1962,1962-04-01,4,0.16,44.1,61.7,1971
"329",1962,1962-05-01,5,0.15,44.7,61.9,1971
"330",1962,1962-10-01,10,1.1,48.6,63.6,1971
"331",1962,1962-07-01,7,0.01,58.6,80,1971
"332",1962,1962-08-01,8,0,57.1,78.1,1971
"333",1962,1962-09-01,9,0.09,54.2,74.1,1971
"334",1962,1962-01-01,1,2.11,29.8,41.1,1971
"335",1962,1962-11-01,11,0.12,41.4,55.2,1971
"336",1962,1962-12-01,12,1.18,36.3,48.2,1971
"337",1963,1963-03-01,3,3.29,38.7,50.9,3055
"338",1963,1963-06-01,6,0.11,54.2,71.4,3055
"339",1963,1963-07-01,7,0,56.5,77.2,3055
"340",1963,1963-04-01,4,4.42,41.8,53.5,3055
"341",1963,1963-05-01,5,0.65,50.3,65.4,3055
"342",1963,1963-10-01,10,1.49,50.5,64.9,3055
"343",1963,1963-11-01,11,3.58,42.2,52,3055
"344",1963,1963-08-01,8,0,57.7,77.9,3055
"345",1963,1963-09-01,9,0.27,58.7,76,3055
"346",1963,1963-01-01,1,3.24,29.9,42.3,3055
"347",1963,1963-02-01,2,4.04,45.5,55.6,3055
"348",1963,1963-12-01,12,0.36,33.7,41.1,3055
"349",1964,1964-04-01,4,1.02,42,57.5,2494
"350",1964,1964-05-01,5,0.76,46.2,62.9,2494
"351",1964,1964-07-01,7,0,60.7,80.8,2494
"352",1964,1964-08-01,8,0,60.2,80.1,2494
"353",1964,1964-09-01,9,0.27,51.4,70.6,2494
"354",1964,1964-06-01,6,0.24,54.4,72.5,2494
"355",1964,1964-11-01,11,3.05,39,50,2494
"356",1964,1964-12-01,12,5.05,40.7,48.8,2494
"357",1964,1964-03-01,3,2,37.2,50,2494
"358",1964,1964-10-01,10,1.5,51.9,68.6,2494
"359",1964,1964-01-01,1,1.62,33.9,43.5,2494
"360",1964,1964-02-01,2,0.06,34.4,47.7,2494
"361",1965,1965-01-01,1,2.74,37.4,45.5,3773
"362",1965,1965-06-01,6,0,53,70.7,3773
"363",1965,1965-07-01,7,0,59.3,79.1,3773
"364",1965,1965-08-01,8,0.21,60.8,79.8,3773
"365",1965,1965-09-01,9,0,51.3,69.3,3773
"366",1965,1965-10-01,10,0.28,48.6,66.9,3773
"367",1965,1965-11-01,11,5.05,44.3,55,3773
"368",1965,1965-12-01,12,2.78,34.3,42.3,3773
"369",1965,1965-04-01,4,3.54,46.2,57.7,3773
"370",1965,1965-05-01,5,0.03,45.8,64.6,3773
"371",1965,1965-02-01,2,0.62,36.6,48.3,3773
"372",1965,1965-03-01,3,1.78,40.3,52.5,3773
"373",1966,1966-01-01,1,1.11,33.4,44.1,2182
"374",1966,1966-02-01,2,1.25,35.1,46.5,2182
"375",1966,1966-07-01,7,0.05,57.7,77.9,2182
"376",1966,1966-08-01,8,0,61.9,82.1,2182
"377",1966,1966-09-01,9,0.07,54.9,72.9,2182
"378",1966,1966-10-01,10,0,47.4,64.9,2182
"379",1966,1966-11-01,11,2.43,44.8,56.9,2182
"380",1966,1966-12-01,12,5.6,38.3,44.9,2182
"381",1966,1966-04-01,4,0.65,46.1,63.5,2182
"382",1966,1966-05-01,5,0.36,51.8,69.7,2182
"383",1966,1966-06-01,6,0.07,57,75.4,2182
"384",1966,1966-03-01,3,0.18,40.4,54,2182
"385",1967,1967-01-01,1,3.73,36.1,46,2934
"386",1967,1967-02-01,2,0.71,37.9,47.9,2934
"387",1967,1967-03-01,3,3.78,40.6,51.6,2934
"388",1967,1967-09-01,9,0.25,59.4,77.4,2934
"389",1967,1967-10-01,10,0.08,48.3,66.1,2934
"390",1967,1967-11-01,11,1.67,45.9,57.5,2934
"391",1967,1967-12-01,12,2.16,30.9,42.3,2934
"392",1967,1967-06-01,6,0.34,54.1,72,2934
"393",1967,1967-07-01,7,0,63.5,84.2,2934
"394",1967,1967-04-01,4,7.29,38.8,49.3,2934
"395",1967,1967-05-01,5,0.46,48.2,65.3,2934
"396",1967,1967-08-01,8,0,65.3,85.1,2934
"397",1968,1968-01-01,1,1.77,33.2,44.3,2298
"398",1968,1968-02-01,2,1.64,43.9,53.8,2298
"399",1968,1968-04-01,4,0.67,42.5,59.5,2298
"400",1968,1968-05-01,5,0.55,47.3,65.5,2298
"401",1968,1968-06-01,6,0,57.3,76.9,2298
"402",1968,1968-03-01,3,2.08,40.9,53.7,2298
"403",1968,1968-12-01,12,3.95,33.6,43.7,2298
"404",1968,1968-08-01,8,0,57.5,76.5,2298
"405",1968,1968-09-01,9,0,55,74.4,2298
"406",1968,1968-10-01,10,1.62,48.4,63.6,2298
"407",1968,1968-07-01,7,0,62.7,82.3,2298
"408",1968,1968-11-01,11,2.47,42.3,51.8,2298
"409",1969,1969-01-01,1,10.57,38,45.2,2724
"410",1969,1969-02-01,2,7.09,37.4,46.1,2724
"411",1969,1969-03-01,3,2.34,39.3,51.3,2724
"412",1969,1969-05-01,5,0,49.9,67.9,2724
"413",1969,1969-06-01,6,0.42,55.5,72.1,2724
"414",1969,1969-07-01,7,0.04,61.4,81.3,2724
"415",1969,1969-04-01,4,2.44,43.4,57.6,2724
"416",1969,1969-08-01,8,0,60,80.9,2724
"417",1969,1969-09-01,9,0.23,57.2,76.6,2724
"418",1969,1969-10-01,10,0.97,44.7,60.6,2724
"419",1969,1969-11-01,11,1.24,39.9,54.6,2724
"420",1969,1969-12-01,12,2.11,35.9,48,2724
"421",1970,1970-02-01,2,1.38,39.9,51.8,3026
"422",1970,1970-03-01,3,2.63,40.3,53,3026
"423",1970,1970-04-01,4,0.39,37.7,54.2,3026
"424",1970,1970-01-01,1,5.64,38.8,49.3,3026
"425",1970,1970-06-01,6,0.73,57.6,75.9,3026
"426",1970,1970-07-01,7,0,63.6,83.8,3026
"427",1970,1970-08-01,8,0,60.2,80.7,3026
"428",1970,1970-05-01,5,0,49.1,68,3026
"429",1970,1970-12-01,12,4.05,36.9,45.6,3026
"430",1970,1970-09-01,9,0,53,73.3,3026
"431",1970,1970-10-01,10,0.15,47.5,64,3026
"432",1970,1970-11-01,11,3.93,42.6,55.3,3026
"433",1971,1971-02-01,2,0.51,35.2,46.3,2727
"434",1971,1971-06-01,6,0,54.3,73,2727
"435",1971,1971-03-01,3,1.31,38.2,51.2,2727
"436",1971,1971-04-01,4,0.83,40.5,55.6,2727
"437",1971,1971-05-01,5,1.86,47.2,62.1,2727
"438",1971,1971-10-01,10,0.14,43.9,61,2727
"439",1971,1971-07-01,7,0,62,81.9,2727
"440",1971,1971-08-01,8,0,63.1,82.3,2727
"441",1971,1971-09-01,9,0.15,55.3,74.1,2727
"442",1971,1971-01-01,1,1.15,35.4,45,2727
"443",1971,1971-11-01,11,1.5,37.6,51,2727
"444",1971,1971-12-01,12,4.2,33.3,42.6,2727
"445",1972,1972-03-01,3,0,43.1,57.6,1763
"446",1972,1972-06-01,6,0.28,59.4,76.9,1763
"447",1972,1972-07-01,7,0,63.5,82.5,1763
"448",1972,1972-04-01,4,0.66,43,58.8,1763
"449",1972,1972-05-01,5,0.19,50.2,68.2,1763
"450",1972,1972-10-01,10,0.48,49.5,63.1,1763
"451",1972,1972-11-01,11,4.55,40.9,49.5,1763
"452",1972,1972-08-01,8,0,62.2,80,1763
"453",1972,1972-09-01,9,0.45,55.3,72.2,1763
"454",1972,1972-01-01,1,0.67,31.9,40.5,1763
"455",1972,1972-02-01,2,0.9,38.7,50.2,1763
"456",1972,1972-12-01,12,2.14,33.1,41.4,1763
"457",1973,1973-04-01,4,0.35,43.5,58.4,3031
"458",1973,1973-06-01,6,0.02,58.5,77.4,3031
"459",1973,1973-07-01,7,0,60.6,80.1,3031
"460",1973,1973-08-01,8,0,60.4,79.1,3031
"461",1973,1973-05-01,5,0.04,52.5,70.4,3031
"462",1973,1973-10-01,10,1.95,47.3,62.9,3031
"463",1973,1973-11-01,11,2.98,40.1,51.5,3031
"464",1973,1973-12-01,12,3.33,37.5,46.5,3031
"465",1973,1973-09-01,9,0,53.5,71.7,3031
"466",1973,1973-01-01,1,3.97,35.2,44.6,3031
"467",1973,1973-02-01,2,5.42,41.9,50.8,3031
"468",1973,1973-03-01,3,4,39,48.6,3031
"469",1974,1974-05-01,5,0,47.4,66.2,2849
"470",1974,1974-06-01,6,0,56.7,75.6,2849
"471",1974,1974-07-01,7,0.19,60.9,79.9,2849
"472",1974,1974-08-01,8,0,59.5,79.1,2849
"473",1974,1974-09-01,9,0,58.2,77.6,2849
"474",1974,1974-10-01,10,1.76,51.1,66.5,2849
"475",1974,1974-11-01,11,1.21,40.2,52.6,2849
"476",1974,1974-12-01,12,2.3,35,44.7,2849
"477",1974,1974-03-01,3,3.77,41.8,52.8,2849
"478",1974,1974-04-01,4,2.01,41,56,2849
"479",1974,1974-01-01,1,3.94,37.8,47,2849
"480",1974,1974-02-01,2,0.67,34.8,47.4,2849
